,Brand,Gender,Price,Color
305,Gini and Jony,Girls,699,Blue
306,SEJ by Nisha Gupta,Unisex,999, Black
307,Bvlgari,Women,10950, Gold
308,Vishudh,Women,1999, Pink
309,Gini and Jony,Boys,1049,Blue
310,Puma,Men,1799,Blue
311,Raymond,Men,3149, Grey
312,ahilya,Women,4220, Silver
313,ID,Men,1218, Brown
314,MIAH Decor,Unisex,3116, Brown
315,ether,Women,599, Beige
316,Peter England,Men,266,Blue
317,Campus Sutra,Men,699, Maroon
318,Parx,Men,959, Red
319,Parx,Men,679,Blue
320,AIGNER,Men,4350,Blue
321,SPYKAR,Women,1214, Black
322,Campus Sutra,Men,699,Blue
323,Campus Sutra,Men,449,Blue
324,Gini and Jony,Girls,559, Red
325,Gini and Jony,Girls,419, Red
326,Soie,Women,552, Red
327,Parx,Men,639, Red
328,ether,Women,1199, Green
329,Difference of Opinion,Men,499, Black
330,Blackberrys,Men,3597, Black
331,Difference of Opinion,Men,499,Blue
332,MIAH Decor,Unisex,1079, Green
333,Campus Sutra,Men,599,Blue
334,SEJ by Nisha Gupta,Unisex,899, Red
335,PARFAIT,Women,1749, Red
336,Parx,Men,949, Red
337,HIGHLANDER,Men,1299,Blue
338,Story@home,Unisex,1399, Beige
339,Parx,Men,559, Grey
340,Playdate,Girls,659, Black
341,Parx,Men,854,Blue
342,Difference of Opinion,Men,499, Green
343,Rocia,Women,1512, Black
345,JEWEL JUNCTION,Men,539, Gold
346,ID,Men,2685, Brown
347,JEWEL JUNCTION,Men,539, Silver
348,SEJ by Nisha Gupta,Unisex,999,Blue
349,MIAH Decor,Unisex,1199, Red
350,AccessHer,Women,559, Gold
351,Marvel by Wear Your Mind,Boys,549, White
352,Palm Tree,Boys,839,Blue
353,HIGHLANDER,Men,699, White
355,ID,Men,1195, Black
356,Park Avenue,Women,1439,Blue
357,Gini and Jony,Girls,629, White
358,Difference of Opinion,Men,499, Grey
359,Gini and Jony,Boys,1329, Black
360,HIGHLANDER,Men,699,Blue
361,Parx,Men,752,Blue
362,ID,Men,1286,Blue
363,Urban Dog,Men,399, Charcoal
364,Annabelle by Pantaloons,Women,999, White
365,Park Avenue,Men,1749, Red
366,Lady Lyka,Women,848,Blue
367,AccessHer,Women,4880, Gold
368,Homesake,Unisex,1620, Gold
369,Sera,Women,1317, Green
370,ether,Women,559, Black
371,SEJ by Nisha Gupta,Unisex,899, Red
372,AccessHer,Women,845, Red
373,Sera,Women,1477, Yellow
374,TAYHAA,Unisex,450, Black
375,Park Avenue,Women,509,Blue
376,her by invictus,Women,1999, Pink
377,Palm Tree,Boys,419, White
378,berrytree,Girls,499, Pink
379,SIMON CARTER LONDON,Men,1019,Blue
380,MIAH Decor,Unisex,865, Red
381,Parx,Men,804, Grey
382,DKNY,Unisex,24800, Black
383,Gini and Jony,Boys,1329,Blue
385,ID,Men,1192, Black
386,Soie,Women,1112, Black
387,ID,Men,2685, Brown
388,MIAH Decor,Unisex,1079,Blue
389,DKNY,Unisex,24800, Purple
390,EthnoVogue,Women,6289, Yellow
391,SPYKAR,Women,2399,Blue
392,SEJ by Nisha Gupta,Unisex,999, Green
393,Vishudh,Women,1299, White
394,Parx,Men,822, White
395,Soie,Women,728, Red
396,Parx,Men,769, Khaki
397,Soie,Women,693, Green
398,Gini and Jony,Boys,299, Red
399,Tokyo Talkies,Women,699, Mustard
400,Parx,Men,384,Blue
402,Raymond,Men,769, Maroon
403,Campus Sutra,Men,699, Black
404,Parx,Men,349, White
405,Vishudh,Women,412,Blue
406,FIDO DIDO,Men,1299,Blue
407,Gini and Jony,Boys,649,Blue
408,her by invictus,Women,1999, Red
409,Soie,Women,988, Red
410,HIGHLANDER,Men,699,Blue
411,ID,Men,1286, Brown
412,Raymond,Men,999, Yellow
413,PARFAIT,Women,1609, Red
414,PARFAIT,Women,999,Blue
415,Beli,Women,849,Blue
416,Lady Lyka,Women,425, Red
417,Homesake,Unisex,1890, White
418,HIGHLANDER,Men,699,Blue
419,Parx,Men,779, Grey
420,Raymond,Men,892, Brown
421,Blackberrys,Men,2997, Black
424,ahilya,Women,8356, Gold
425,Parx,Men,752,Blue
426,Parx,Men,489, Red
427,DKNY,Unisex,13365, Silver
428,Soie,Women,988, Red
429,Roadster,Women,1199, Beige
430,SPYKAR,Women,1079,Blue
431,Gini and Jony,Boys,559, White
433,Homesake,Unisex,1890,Blue
434,Gini and Jony,Girls,419, Yellow
435,Story@home,Unisex,1399, Green
437,Homesake,Unisex,1732, Red
438,U.S. Polo Assn. Denim Co.,Men,3499, Brown
439,JEWEL JUNCTION,Men,539, Gold
440,Campus Sutra,Men,479, Black
441,Raymond,Men,1249,Blue
442,Parx,Men,959,Blue
444,Gini and Jony,Girls,489, Green
445,PARFAIT,Women,1609, Red
446,Park Avenue,Women,1079, Red
447,PARFAIT,Women,1679, Red
448,Raymond,Men,1749, Grey
449,Raymond,Men,6649, Brown
450,SPYKAR,Women,999,Blue
451,SEJ by Nisha Gupta,Unisex,899, Green
452,Jn Joy,Women,2399, Navy
453,SEJ by Nisha Gupta,Unisex,799, Red
454,PARFAIT,Women,1189, Red
456,DKNY,Unisex,13020, Black
457,Lady Lyka,Women,425, Black
458,ahilya,Women,4275, Silver
459,BuckleUp,Women,449, Red
461,Tokyo Talkies,Women,1299, Red
462,Marvel by Wear Your Mind,Boys,549, Black
463,Bvlgari,Men,3500, Black
464,THE SILHOUETTE STORE,Women,839, Black
465,Parx,Men,874, Brown
466,Campus Sutra,Men,699,Blue
467,PARFAIT,Women,1679, Red
468,Gini and Jony,Boys,1119,Blue
469,Lady Lyka,Women,425, Black
470,DKNY,Unisex,31100, Purple
471,ID,Men,1197, Brown
472,Puma,Men,1959,Blue
473,HIGHLANDER,Men,699, Maroon
474,Russell Athletic,Women,3499, Black
475,JEWEL JUNCTION,Men,539, Silver
476,ID,Men,2685, Brown
477,Blackberrys,Men,2924,Blue
478,DKNY,Unisex,12375, Black
479,Russell Athletic,Women,2799, Grey
480,Xpose,Women,734,Blue
481,Gini and Jony,Girls,629, Red
482,HIGHLANDER,Men,699,Blue
483,ID,Men,2685,Blue
484,PARFAIT,Women,1679,Blue
485,HIGHLANDER,Men,699,Blue
487,Sera,Women,1317, White
488,Parx,Men,734, Maroon
489,Parx,Men,759,Blue
490,Gini and Jony,Boys,1049,Blue
491,Homesake,Unisex,1620,Blue
492,Campus Sutra,Men,599,Blue
493,Carrera,Men,5199, Black
494,Homesake,Unisex,1620, White
495,Puma,Men,1749,Blue
496,SPYKAR,Women,1034,Blue
497,DKNY,Unisex,13275, Black
498,Parx,Men,612, Pink
499,Soie,Women,655, Red
500,Parx,Men,454, White
501,Soie,Women,632, Red
502,Gini and Jony,Boys,629, Black
503,Sera,Women,1097, Mustard
504,DKNY,Unisex,15540, Silver
505,Campus Sutra,Men,699, Grey
506,Playdate,Girls,599, Black
507,ID,Men,1627, Brown
508,AccessHer,Women,1251, Gold
509,SEJ by Nisha Gupta,Unisex,799, Red
510,Soie,Women,655, Red
511,MBE,Women,699,Blue
512,PARFAIT,Women,999, Black
513,PARFAIT,Women,1609,Blue
514,Parx,Men,839, Red
515,Story@home,Unisex,1799, Red
516,Park Avenue,Women,809, Grey
517,HIGHLANDER,Men,699,Blue
518,SPYKAR,Women,899, White
519,SEJ by Nisha Gupta,Unisex,799, Red
520,Park Avenue,Women,503,Blue
521,Sweet Dreams,Men,699,Blue
522,Lakme,Women,400, Red
523,HIGHLANDER,Men,699, Black
524,ahilya,Women,11137, Gold
525,Gini and Jony,Boys,629, Brown
526,SEJ by Nisha Gupta,Unisex,899,Blue
527,SPYKAR,Women,1079,Blue
528,PARFAIT,Women,899, Beige
529,PARFAIT,Women,899, Black
530,Vishudh,Women,1299, Green
531,ID,Men,1685, Brown
532,Parx,Men,839,Blue
